,text
443,"Ya suelten las cajitas para todooooooos, ya me desespere de tener el dinero dividido en aplicaciones para organizarlo y ustedes nomás nada 😢😔"
444,"Llevo 1 mes con la cuenta bloqueada y nunca me resuelven pésimo , no se como recuperar mi dinero"
445,👏
446,Sube la tasa el 15 de abril tío @nu.mx
447,Yo quiero una morada metálica 🔥🔥
448,💜
449,💜💜💜
450,💜💜💜💜
451,Yo quiero
452,Para cuando avilitan las cajitas múltiples para todos
453,💜💜💜✨😍
454,😮
455,Oigan es cierto el rumor de poder hacer varias cajitas? Cuando sale?
456,😮
457,❤️❤️❤️❤️
458,Para cuando los créditos personales para todos y no solo para unos cuantos 👍💜
459,Team Nu 💜
460,Ojalá pronto se puedan pagar servicios desde la app o hacer retiros en efectivo 🥲
461,💜
462,Gracias Nu. 💜 Ya nada más me falta un familiar que me mande dinero.😢
463,Cajitas 😢
464,"La verdad, al momento LA MEJOR TARJETA que he tenido. La aplicación una belleza, las comisiones en TDC muy buenas y accesibles, TDB muy buena, todo espectacular."
465,Cobra comisión!?
466,WOWWW NU! Cada día me sorprendes más !!!!!!!!!!
467,🔥🔥🔥
468,"Hola buenos días, aún no veo la opción de crear varias cajitas 😢 ¿Cuándo llegará para todos los usuarios?"
469,"Finalmente, no más filas!!"
470,Wowww💜
471,Welcomeeeeee!!!
472,Y solo de Estados Unidos se puede recibir dinero??
473,No mas filasssss!!!!!!
474,Al finnnnnnnn🔥💜💜
475,"Yo tampoco puedo accesar, llevo una semana y no me dan solución 😡"
476,"Desde el año pasado tramité la tarjeta y no llegó, empecé ahorrar pero creo que lo tendré que sacar pues si quiero retirar o comprar algo no puedo, tengo que estar transfiriendo el dinero a otra tarjeta para poder disponer de el o poder hacer una compra en el super"
477,"Es una muy buena tarjeta pero y si nos apoyan con cashback, eso estaría genial"
478,Siiiiiiii👏👏👏👏👏👏
479,💯
480,"A mí me dieron las dos tarjetas, crédito y débito, Gracias NU! 🙌"
481,Grande NU 💜✨
482,"No tienen competencia actual en el mercado, nadie da ese 15% anual, esperemos y sigan mejorando y algún día les acepten la solicitud de ser banco❤️"
483,💯💯💯💯 yo diría que vale mil
484,💯 Tanto qué debería ser embajador de NU 😂
485,"💯 Nu es lo mejor, gracias 💜"
486,💯💯. Estaría súper si nos dieran cashback 💜
487,También puede recibir transferencias en esta tarjeta?? Es
488,Algum problema com sua conta chama aqui eu resolvo
489,💯💯💯
490,💯
491,"Poderosa e inalcanzable, 💜👌🏼"
492,💜✨✨✨
493,Aún no se pueden hacer retiros en cajeros? 😢
494,No nos vayas a decepcionette por allá en abril con la cajita please!
495,Pero no astheric 😂
496,Cómo le hago para que me manden la tarjeta de débito hice el trámite pero no me llegó solo dice está en estafeta desde mayo del 2023
497,La mejor SOFIPO!!! 👏👏👏👏👏👏
498,El color y el nombre es la mezcla perfecta. 🥨💜
499,"Gracias Nu, por darme mi primer T. C. Y gracias a eso ya tengo historial crediticio:')"
500,"Aaaaah, hoy me llegó esta divina esta moradita!!😍💜"
501,"Más cajitas para dividir mejor mi dinero de acuerdo a mis diferentes propósitos, pls!! 💜💜💜"
502,La mejor tarjeta; tanto Débito como Crédito son una maravilla 💜
503,Mi primer tarjeta y mi única opción porque me he enamorado de la Moradette 😜💜 graciaaas 🫶
504,"Si pusieran cashback, serían aún más coquette ❤️"
505,"Tío @nu.mx Pregunta: ¿En algún momento, sacarán merchandising? Ι mean, como el gorrito que subieron en sus posts. ¿Sudaderas o alguna Totebag? 👀💜"
506,Tendría que etiquetar a todos mis clientes jaja
507,"Fue lo primero que trámite cuando cumplí 18 jaja, y ahora toda mi familia y algún que otro amigo la tienen 🥹💜"
508,"Se llama robo y su atención es pésima, por que roban dinero de las cuentas de débito?"
509,Yo fui ese amigo que a todos le recomendaba la moradita 🥲🫶🏼
510,💜💜💜💜
511,Yo quiero solicitar la TDC pero no he recibido respuesta 🥹
512,Mi amigo @afeech es mucho de sushi y pagar con su moradita 💜
513,@emiolisan @anapulla yo losn invité a sacarla y a mi me la entregaron 3 meses después de haberla contratado 😂😂😂
514,@melida.ft @loree_gal donde está mi 🍦
515,@wich_183 sí me debes un helado 😌
516,"Lástima que Nu y Macstore hacen publicidad engañosa.
Que no cumplen la promesa de poder pagar a MSI, te cobran, te cancelan el pedido y entre los dos no se pone de acuerdo en quien tiene la culpa. Ahora mi dinero está en proceso de reembolso según, pero hasta ahora ninguna aclaración. @macstoremx"
517,@katee.vt 😂
518,@r.m.nadia cómprame mi ice cream
519,@marii99_jm
520,Medicamentos 💊 porque ya estoy viejita 😸
521,La mensualidad de una app para meditar 🧘
522,Boletos de avión para vacaciones
523,El regalo de cumpleaños para mi madre y hermano.
524,Spotify 😍
525,Unos cacahuates 😅
526,Mi última compra fue en Coppel jeje
527,Unos electrolit de promoción en el oxxo porque ando malito🥺
528,Guardería de mi perro 🐕
529,Pague mi predial! Deberían meter ahí meses sin intereses como TIP
530,Llevo más de 48 horas esperando que me autoricen la tarjeta y nada. 😢
531,Para gastos del gym y me subieron el crédito a 7k ❤️😍
532,Este año sorpréndeme con la Ultra Violeta
533,Un set de anillos 🤣🤫💜
534,"Deberían de poner en la app un apartado para pagar los servicios, recargas de celular. Etc.."
535,🦴🐶💜💜💜
536,🐶❤️🐶
537,Ya pongan cashbackkk o puntos o algo en la tarjeta de crédito 🤙🏼🤙🏼
538,Perrito bonito
539,"Tengo la tdc nu y como dueño de veterinaria, hay gente que me paga con ella, no muy frecuente y usan debito, ojala aprovechen que siempre hay meses sin INTERESES! si! En productos no se les carga nada"
540,Cómo se tiene la tarjeta con NU
541,🐶💜
542,🐱💜💫
543,Creo que mi mascota estaría más contenta si sacaran las cajitas múltiples. Solo digo 🐶🐱
544,Siiiii tan solo tuviera mi TDC😢
545,❤️🐶
546,🐶 justo lo hice
547,🐶💜
548,Hay convenio con algun establecimiento típo @petcomexico ??.
549,Ojalá y este año se vengan mas cosas buenas para la comunidad Nu!! 🙌
550,💜💜💜💜💜
551,💜
552,"Vou avisar pela última vez. Se eu ficar sem acesso ao meu dinheiro eu vou dar uma queixa no banco central e entrar com uma ação contra danos morais.
Estou há mais de 10 dias sem acesso ao meu dinheiro, tendo eu contas a pagar, matrícula da escola dos meus 3 filhos pra fazer, entre outras necessidades básicas para suprir familiar.

Já esperei demais. Vocês bloquearam minha conta, sem mais nem menos. Encerraram a conta. E agora estão prendendo meu dinheiro por mais 7 dias úteis. Ou seja um mês sem acesso ao MEU DINHEIRO que infelizmente confiei nesse banco.

Não tô a fim de esperar mais. Quero o meu dinheiro hoje, segunda feira 8 de janeiro. Se terminar o dia e ele não tiver na conta que enviei pra transferência, não vou ter pena.

Vou exigir todos os meus direitos na justiça."
553,Puede comprar BTC con este app?
554,💜💜💜💜💜
555,💜💜💜💜
556,Esperemos que este año me den aumento en mi tarjeta Nu por qué nos castigan con los aumentos por favor
557,"Como funciona el diferir, es como meses sin interés o es una cuota con interés?"
558,💜
559,💜
560,"Vou avisar pela última vez. Se eu ficar sem acesso ao meu dinheiro eu vou dar uma queixa no banco central e entrar com uma ação contra danos morais.
Estou há mais de 10 dias sem acesso ao meu dinheiro, tendo eu contas a pagar, matrícula da escola dos meus 3 filhos pra fazer, entre outras necessidades básicas para suprir familiar.

Já esperei demais. Vocês bloquearam minha conta, sem mais nem menos. Encerraram a conta. E agora estão prendendo meu dinheiro por mais 7 dias úteis. Ou seja um mês sem acesso ao MEU DINHEIRO que infelizmente confiei nesse banco.

Não tô a fim de esperar mais. Quero o meu dinheiro hoje, segunda feira 8 de janeiro. Se terminar o dia e ele não tiver na conta que enviei pra transferência, não vou ter pena.

Vou exigir todos os meus direitos na justiça."
561,Woww felicidades que fregon!! Gracias!!
562,Éxito! Adelante! Saludos👍
563,👏 felicitaciones!! Desde México 🇲🇽
564,👏👏👏
565,Top demais!!! 💜
566,"Wow, felicidades bien merecido 💜"
567,Felicidades a los dos y todo el equipo detras que conlleva a todo NU
568,"Yo tengo mis moraditas y son unas bellezas, mi cajita con el 15% es lo máximo, gracias y felicidades 👏🙌"
569,Felicidades
570,Yo quiero trabajar con ustedes NU Ü
571,❤️❤️❤️
572,Para cuándo licencia bancaria y acuerdos con instituciones para poder hacer retiros en cajeros automáticos?🤔
573,Me interesa saber si tiene tarjeta de ahorros
574,❤️❤️❤️
575,🔥🔥🔥🔥🔥🔥
576,Cuando saldrá la opción de crear varias cajitas ? 😍
577,😍
578,Necesito ayuda para crear mi cuenta!!! Me están diciendo que tengo que crear otro email para terminar mi registro y eso no es cierto!
579,Llevo unos días sin poder abrir mi aplicación:(
580,Que promociones tengo al usar su tdc en los comercios?
581,@mich_salgado_o siiii estará increíble 🔥🔥🔥
582,El mejor regalo serían las cajitas múltiples de la cuenta Nu
583,La carcasamor 💜💜💜
584,Saquen cashback
585,La doggidera 😍😍 ya la hiceeee!!!
586,No dan incrementos de límite de crédito.
587,El único regalo que quisiera es el aumento de mi línea de crédito pero nomás no :(
588,Cómo era????? No me enteré 😭
589,"Que paso con las tarjetas Amazon? Nunca me llego nada :,)"
590,😍😍😍😍
591,Cashback seria un buen regalo para todos los clientes nu
592,"¡Son magníficos! Es una idea increíble, no dejan de sorprenderme.#nulover 💜"
593,Y como la tramito?
594,"Espero que al año al menos me suban un poco más el crédito, que esos 2k no me sirven. Termino usando otras tarjetas"
595,¿Cómo se solicita o qué?
596,💜🔝
597,🙌 Excelente
598,"Yo tengo historial crediticio en bancos y aún así no me aceptaron la de ustedes…, muy mal por eso, pero la de débito 10 de 10@ 🔥"
599,"Ya tengo 26 meses con ustedes , siempre pago el total del estado de cuenta nunca me e atrasado pero mi línea de crédito sigue siendo la misma no a subido nada y pago la mayoría de mis gastos mensuales con la tarjeta su análisis que hacen para el aumento no funciona 👍"
600,El mejor banco de México 👌🏼💙
601,Ya la mejor SOFIPO* de México !!!!!!
602,El próximo mejor banco de México !!!! Ya la mejor SOFIOO!
603,No ha sido víctima de estafa ni nada de eso solo que la tarjeta no ha llegado a mi domicilio y solo aparece el mensaje que ha sido envíada de nu ya tiene más de un mes
604,"¡Me asombra el hecho de recibir atención de ustedes lo más rápido posible, es casi al instante! #nulover de corazón. 💜"
605,Los amo ❤️
606,Para cuando el cashback en la TDC? 🫣
607,Para cuando los préstamos personales 👍💜
608,Llevo más de mes y medio esperando mis tarjetas 😢 de qué sirve atención han rápida si no solucionan nada? la empresa de logística (99 minutos) ya va 3 veces que no entrega mis tarjetas
609,"¿Pueden aclarar que la retención del 0.5% anual del 2024 sólo aplica a los intereses generados y no al monto de mi propio dinero que ya es mío y por el que ya pagué
impuestos?"
610,"Mal servicio vía telefónica e llamado 5 ocasiones para cancelar la tarjeta y me cuelgan las llamadas . No hay forma de reportar a alguien porque únicamente dan un apellido .
Deseo por favor me ayuden a la cancelación."
611,👏👏👏👏 una razón más para amarlos más
612,Yo creo que se llaman Nu porque Nu-nca responden los correos.
613,Exelente Nu! Empresa inclusiva😍💛
614,"Creo que Nu es la palabra perfecta para decirle Nu a la exclusión, dile Nu a lo malo, dile Nu a la discriminación. Nu es familia y unión. Los quiero equipo Nu. 💜☄️"
615,👏👏 ✨
616,👏👏👏👏🌈
617,Nu espacio seguro 💜
618,Ni siquiera en redes responde
619,Me siento estafado hablan de una cuenta ágil y llevan más de una semana con mi dinero NO FUNCIONA EL APP inventando excusas y no dan solución se inventan más mentiras y mentiras
620,A cancelar! 🤢
621,"Tan bien que íbamos, NU.-_-"
622,Listo para alejar las malas vibras y vibrar alto con mi moradita 💜💜💜💜
623,Los amoooooo
624,Numaste 💜 los mejores
625,Me encanta!! 💜
626,Son unos masters💜☄️
627,Ay que emoción! Que la paz financiera esté con todas nosotras!! Numasté 💜💜💜
628,¿dónde está el link de la bio?
629,Yoooo!!! Como le hago??
630,Y si mejor aprenden a no ser mamones? Todavía no me cabe en la cabeza como dan una tarjeta de CRÉDITO a cualquier persona pero se ponen delicados y exquisitos con una tarjeta de DÉBITO.
631,Andan con todo 😍😍😍😍
632,Ya tengo mi diploma 😌💜
633,"Una duda, no se supone que el CVV de una tarjeta virtual cambia cada x minutos por seguridad? Mi tarjeta virtual de Nu no lo cambia"
634,Dónde está el link para inscribirme?
635,@nu.mx ya estamos a 1 de diciembre y nunca me llego mo regalo del efecto nuviembre 😭😭😒😒
636,Yo quiero pertenecer a su familia morada 💜? Que debo hacer?
637,Son los mejores ! 🙌🙌🙌 cuando liberan las cajitas múltiples
638,Nu es lo mejor que me ha pasado
639,Yo los amo 🫶
640,"Hola Nu's, ojala queden las Cajitas para iniciar el año mas organizado. Saludos"
641,Yo ya recomendé la moradita 💜 a un familiar y un amig@.... Gracias Tío Nu
642,Para cuando el crédito personal en general y no a solo unos cuantos nos hacen sentir excluidos 👍💜
643,"Hoy me llegaron mi par de Moraditas😍, pero me quedo con la espinita de la TDC, con una línea de crédito muy baja 😥"
644,10 de 10 🔥❤️😮
645,Felicidades 🥳 son los mejores
646,Ya dejen el cashback permanente y haganle un apartado/boton en la app!
647,"Me dijeron la aceptación de esta tarjeta de crédito era casi segura, es una lástima no me la aceptaron :("
648,Para cuando las cajitas 😍
649,Deberían de agregar la opción de poder modificar o eliminar un contacto
650,Para cuando la inversiones a plazos? 😮
651,Con este frío si se antoja una taza de ese café espacial al estilo Nu 💜💜💜
652,🙌 los mejores años con nu
653,I 💜 NU!!
654,❤️❤️❤️
655,Toma el control de tu dinero. Nu Bank 🔥🔥
656,TEAMO NU💜
657,Toma el control de tu dinero!! X siempre moradita 💜
658,Estoy muy muy feliz con mi MORADITA adios a los bancos mediocres pero por otra parte muy decepcionado. Después de 2 años no logro subir el crédito😢
659,Otro análisis más y sigo sin mi aumento de crédito 😢
660,Oye tío nu y las tarjetas de regalo de Amazon? 👀👀👀
661,💜💜💜🖤🖤🖤
662,Toma el control de tu cuenta
663,Tengo problema para ingresar a la app a dónde me puedo comunicar?
664,Quiero mi tarjeta de crédito 😢
665,"Cómo reclamaría mi casbhack, por qué no me aparece ninguna opción donde pueda ver el casbhack que llevo, fui uno de los que afortunados."
666,Un millón de gracias por todo NU…
667,Por fin tengo mis moraditas. Hartas gracias??. A empezar con esta nueva era Nu.
668,"Aumentenme mi límite de crédito mejor 😢, otra vez no me lo volvieron aumentar 😭😔"
669,"Me gustaria que ubiera capturas de pantalla,Como antes🙂"
670,En la cajita no me aparece para más apartados
671,Super cómodo que sea compatible con Apple pay
672,Soy residente permanente en México. Pero la opción no me sale
673,Mejor aumenten el limite de credito que ya tengo mas de un año con 12K y su competencia del bigote naranja ya me aumentaron mas que ustedes 😒
674,No me sale esa opción. Cual es la versión más reciente de la App?
675,Ya habilitaron la funcionalidad para residentes? O es solo para Mexicanos?
676,Ahora si puedo meter mi millón
677,Nu!!! Porfa habilita más cajitas en la cuenta! 🙏🏻🙏🏻🙏🏻
678,Y para el limite de crédito? Ya tengo 1 año con el mismo
679,¡Nu el mejor! 💜
680,Pésimo servicio y creen que por no poder tomar pantallas en el app no puedes tomar fotos para publicar su incompetencia
681,EALEEEEEEE 💜💜
682,#nu yo quiero una gorra morada
683,Esto aplica con la TDD?
684,Ya quisiera mi TDC 😢💜
685,💜
686,Habrá más cajitas de rendimiento en NUviembre?
687,"Ojalá me subieran el crédito, con lo que tengo no alcanza pa'na"
688,🤮
689,¿Retirar en Walmart aplica para todas las tiendas de grupo Walmart?
690,Estaría mejor si sus tasas de interés no fueran tan altas.
691,Muy bonito y todo pero para cuando los monederos electrónicos Amazon ? Cumplan su palabra.
692,Hola ! Hoy empieza el cashback? TDC … ya dejenlo todo el año motívenos
693,No dieron las tarjetas de Amazon 😢
694,"He tenido la tarjeta moradita desde hace 4 meses y es una maravilla 👏. Muchas felicidades, 🙌cuando se enfocan en la experiencia al cliente, las ganancias siempre van a llegar solas, Mucho éxito 👍"
695,Cuando podremos hacer portabilidad de nomina?
696,"¿Que pasó tío Nu? Yo bien emocionado le hablé a mi familia de los beneficios para que abrieran su cuenta, pero ya pasaron 48 horas y nada que habilitan la cuenta. 😢"
697,"ya quiero tener mi tarjeta de crédito, he hecho buen uso de mi cajita y tarjeta de débito"
698,La mejor 💜
699,Estaría bien que cambien sus políticas para poder crear una cuenta nueva después de tener una cancelada :(
700,En unos dias me llegan mis tarjetas moradas!! Muchas gracias tio @nu.mx !! A salir de 1 buena vez de la prehistoria🔥👏
701,en hora buena muchas felicidades tío @nu.mx ... Y vamos por muchos logros más...cada vez somos más corazones 💜💜💜
702,"Son la mejor opción que hay y ahora que su competencia más directa @heybanco se ha convertido en la misma cochinada que los demás bancos ya no tienen competencia, espero pronto lancen poder tener varias cajitas para planificar los ahorros por categorías y que metan cashback ❤️❤️🔥🔥"
703,Ya quiero mi tdc tío @nu.mx me eh portado bien este año 😢
704,Tqm @nu.mx 💜
705,Felicidades @nu.mx 👏
706,Cashback!!! 🙏🙏
707,Te amo Nu siempre consintiendo y pensando en mejorar a tus clientes
708,El aumento en los rendimientos!!
709,Descuentos en mercado libre 😍🙏🏼
710,Apoyo a los Acapulqueños cumplidores?👏👏😢 porcentajes bajos? Congelar intereses? Qué es tío Nu???
711,A alguien ya le llegó su tarjeta de regalo de Amazon ? 😢
712,Te quiero mucho nu
713,Alguien me explica como pedir la recompensa de Amazon?😢
714,Que sea cashback…. Ya eres mi favorita!!
715,Excelente tarjeta y aplicación los felicito ya estoy por meter dinero a la cajita 😃😂
716,Cashback❤️❤️❤️
717,Porfavor qué sea Cashback😢❤️
718,"Le apuesto todo a la moradita, es la única que escucha a sus clientes por estoy muy contento, sigan así 💜"
719,Si es cashback me muero 😍❤️
720,Ya un aumento por favor 🙏🏽 ya hace falta @nu.mx
721,"Nu, espero muy pronto haya oficinas en mi estado en Toluca edomex sería increíble visitarlos 😢"
722,"Nu, le mandé la invitación a un amigo para solicitar la tarjeta de crédito pero solo le dieron la de débito ¿A qué se debe? Saludos!"
723,Saben porque hay terminales que no las reciben?
724,Otra vez fallas en la app? 😢
725,Quem é o dono nubank ???
726,"hice la solicitud para tarjeta de crédito y me sale sólo la cuenta nu, eso quiere decir que no se me aprobó la tarjeta de crédito?"
727,La experiencia 💜 moradita es lo mejor!
728,"Ay, alguien sabe cómo puedo abrir mi cuenta? 😨"
729,❤️
730,"Año y medio con la tarjeta de crédito y nunca me han aumentado, pago a tiempo, siempre utilizo todo el crédito y no más no me aumentan... Nm"
731,🫶🏼🫶🏼
732,"Les recomiendo que no saquen está cuenta , me bloquearon la cuenta de ahorros, por un documento que mandé hace días FATCA , y por chat me dicen que lo tiene otra área que demora 7 días hábiles ,que escriba por correo , y escrito mas de 5 y ni siquiera tienen la delicadesa de contestar , pésimo servicio al cliente , quiero cancelar la cuenta para disponer de mi dinero y dicen que tampoco se puede, pero si aceptaron la tranferencia, pésimo servicio peor que una banca presencial..
No saquen ningún producto"
733,Así como se hunde @heybanco con su basura de membresías. Amamos NU
734,Solo quisiera ya un buen aumento en mi línea de crédito jaja ayúdame a ir a Japón @nu.mx
735,💜 listo 🙌
736,"¿Cómo sé si seré acreedor a la promo? Ya sé que será en los siguientes 30 días hábiles, pero como sé que lo hice bien? Hice lo que se pidió 🤟🏼😌"
737,"Si deposite esta semana más de 5mil, estoy participando?"
738,Me sacaron de la depresión 💜💜
739,Ya está mi dinero en la cajita y aún no recibo el certificado de Amazon. Que procede ?
740,"Pero...cuando recibiré mi premio???😂😂 Nah no se crean, acá si leí los TC, solo queda esperar ya llegó el mail donde dice que obtuve 150 aunque participé por 200, como sea ninguna otra tarjeta me da ni los buenos días. Thks NU"
741,Aún puedo hacer mi depósito para participar?💜🫣
742,💜💜💜
743,"Hola, cree mi cta y deposite el mismo día 4nov, si entro en la dinámica? Cuando recibiría notificación del monedero?"
744,💜💜💜💜💜
745,Donde nos llegará la tarjeta de regalo o cómo estará la dinámica ?
746,Holaaa. ¿Cómo se que ya soy acreedor de alguno de los beneficios? 🥺
747,No recibido el certificado de amazon.
748,"Ya paso 5 y aún no recibo mi regalo, que proceso @nu.mx 🤭"
749,"@nu.mx cuál es su horario de atención a clientes... tengo un problema con mi tarjeta física, hace un mes no me ha llegado."
750,Te quiero NU 💜
751,"Ya 1 año con la moradita y es increíble, pero la débito me la dieron pero no tengo otra tarjeta de débito de un banco nacional y pues no puede depositar en ningún lugar y pues solo la tengo estancada ojalá y pronto ya lleguen en físico a México 💜🇲🇽"
752,"Mexico! Desde hace 1 año, 4 meses!! 😎👍🏻"
753,Qué te digo ? Es la mejor 💜💜💜
754,"Apenas llevo 4 meses y ha sido toda una increíble experiencia 🙌👏, me hubiera encantado conocerlos antes"
755,Tengo 10 meses con la moradita 💜
756,Desde 2020 y fue el inicio de algo más grande 💜❤️
757,Hace un mes tengo la tarjeta 💳
758,"Desde 2021, felicidades!!! Incluso he buscado ser parte de alguna de sus campañas y no he tenido suerte, pero aquí andamos. Felicidades 💜💜💜"
759,"Desde hacer un buen, y ya no hicieron aumento 😮‍💨 por más que la utilizo"
760,"Yo entre a la gran familia morada, empezando este 2024, gracias por la confianza NU !!"
761,No recuerdo el año pero fue en cuando la lanzaron al mercado. Saludos 💜💜
762,"Desde have dos años ya y no me arrepiento de nada!! ✨ Muchas gracias Nu, eres lo máximo! Saludos desde México 🇲🇽 💜💜💜✨😍"
763,"Muchas felicidades Nu, yo desde q iniciaron aquí en México fui de los primeros afortunados formar parte de Nubank ,no recuerdo la flecha pero me ha servido mucho y ahí vamos ,me enviaron la débito pero no llegó a mi domicilio, de todos modos gracias por permitirme formar parte de la miradita."
764,"Desde hace un año, no podría estar más satisfecha 💜"
765,Es válido si se hace el depósito y se mete en la cajita?
766,Cual es la dinámica??
767,Cuando me llegará la tarjeta de Amazon ?
768,Listo ✅ 🙌
769,💜💜💜💕💜💜💜 espero pronto obtener mi efecto NUVIEMBRE
770,Y Después del 5 de noviembre cuando darán la tarjeta de Amazon?
771,Las promociones de nuviembre como el cash back también aplican para los nuevos usuarios?
772,Ya quedó !
773,"Ya está 😁🔥 , cuál será el premio"
774,❤️❤️❤️
775,Que día recibiremos la recompensa?
776,Como me puedo registrar para pedir mi moradita crédito
777,@nu.mx si no me ha llegado mi tarjeta de regalo que puedo hacer?😢
778,"Puedo depositar, mandarlo a cajita y participar?"
779,Listo 💜... Ya quedó...Tío Nu
780,Que beneficios habrá?
781,"De que se trata, no encuentro información"
782,"Su link de la biografía no está actualizado, no sale este post 💀"
783,Es sorteo o solo al depositar ya ganaste?
784,Información sobre la tarjeta nu por favor gracias.
785,"Ayer me transferí $2,500 y luego lo mandé a mi Cajita para participar 🛐"
786,Depósito $2500 y 5000 pero nada confirma la participación
787,Cuenta si a lo largo de estos días mis depósitos han sumado 2500 o 5mil?
788,"Si tengo dinero ya guardado en la cajita, no participa?"
789,Todos los que hagamos eso tendremos la recompensa o es para participar en un sorteo por ella?
790,Se dieron cuenta también que Stori puede quitarles mercado?
791,Y si deposito 8000 automaticamente lo detecta como si hubiera depositado 5000?
792,@nanalala.25
793,Acabo de recibir mis tarjetas y estoy completamente feliz! En verdad súper recomiendo Nu 🥰
794,👏👏👏👏👏👏 muito legal
795,La mejor tarjeta del mundo mundial 🌏!! ✨ Felicidades por su récord Guinness!!! 🙌💜✨💜✨🥰
796,"Un logro bien merecido que celebro junto a ustedes mi familia Nu ,🫂"
797,"Tkm Nu, eres lo máximo 💜"
798,Genial 🙌
799,Aiñ
800,"Orgullosa de ser parte de Nu, amo"
801,Amamos a Nu💜
802,👏👏👏wow
803,👏👏👏
804,"Es la mejor tarjeta. Sin duda alguna ,ya tengo con ella más de 1 año y la verdad es que es la mejor"
805,"Todo genial perooo, aun no tengo mi moradita, cuando me la dan para iniciar mi HC"
806,👏👏👏👏👏👏
807,"Emoción total y mis buenas vibras para la moradita 💜 me encantaría laborar con la moradita para ayudar en su crecimiento si se pudiese, ya que la moradita lo merece y lo vale👏!!!"
808,"Sigan con todo, confío en ustedes y son mi banco preferido por mucho 🙌🏼"
809,👏🏻Nu es una gran institución y sé que seguirá creciendo 💜 soy #nuloverdecorazón.
810,"Me alegro de saber que están creciendo y eso es el claro ejemplo de que escuchar a sus clientes es una excelente formula para progresar, gracias por ser diferentes. 😉😉😉"
811,Ojalá la tarjeta de crédito ahora nos dé puntos 💜
812,"Mientras no cambien esto de diferir compras, la opción de plan de pagos y anticipar mensualidades todo está bien. Éxito en su proceso y que todos salgamos beneficiados"
813,"Me siento feliz de que como cliente puntual y activo... aporte y sigo aportando al crecimiento de Nu. Después de que los bancos me vetaron, fueron los únicos que me dieron la oportunidad. Me gusta que estén creciendo, solo espero que al entrar al mercado bancario, no caigan en lo mismo que los tradicionales. Los quiero mucho y los quiero ver triunfar 💜🪷💮"
814,Muchas felicidades y enhorabuena!!
815,Contexto en idioma no bancario 🤔xd
816,"Si consiguen esta licencia perderían la de sofipo y dejarán de ofrecer rendimiento, verdad?"
817,Te amamos moradita 💜✨
818,"Qué emoción, ojalá que si les den la licencia. 🫶🏻"
819,"Imagina que el Tío Nu, nos pueda otorgar créditos automotrices ya siendo un Banco... No es malo soñar a futuro🙌🔥"
820,Con esto dejarían de ser un neobanco? 👀
821,"Gracias a Nu, conocì a Hey Banco y me enamoré"
822,💜Orgullosa de NU!
823,Llevo intentando solucionar un problema más de una semana y nadie se comunica conmigo! Su chat dentro de la app no funciona. Ayuda!!
824,Porqué no está el video en el blog nu? 🙁
825,🔥🔥🔥 💜💜💜 el mejor equipo
826,"Urrrrge que mejoren el proceso de transferencias. Tardan horaaaaas en llegar!
Qué lástima."
827,Eso me emociona andar debajo del mar y realizar trasferencia a eso vamos no? 🥳
828,Oleeeee 🔥🔥
829,"Cuando en los dispositivos Huawei, ya dejo de funcionar la aplicación en mi Cel."
830,😍🔥
831,🔥🔥🔥🔥🔥🔥
832,"Tengo más del 200% de utilización mensual en mi límite de crédito, ¿cuál es el proceso para el aumento de la misma?"
833,💜💜💜💜💜💜
834,"Pongan más seguido a Cris de @coreanovlogs por favor esl es bien chévere sería mejor que sea para siempre del equipo de NU por favor y yo también seré NU ustedes son los mejores SOY DE LA NUEVA ERA NU """
835,Amamos a Nu y amamos a @mauriciolopez 🫶🏻💜💜
836,Eres el mejor tío Nu 💜
837,Que emoción!!! 🙀🤩😮‍💨💜💜
838,Sigo sin poder usar la app 👀
839,Cuenta si ya tengo la cantidad en la cajita o se tiene que quedar afuera??
840,Los amo 💜
841,👏👏
842,Incredible! I love it! 💜 Happy Nuviembre!
843,Cuenta el@dinero depositado en cajita ?
844,Yo espero para diciembre poder ser elegible para nu credito 🙌🏻🌈✨
845,Yo no tengo las TDD :(
846,🙌👏 💜 nu!!
847,Cual sería el último día para depositar a mi cuenta y ganar la tarjeta de Amazon?
848,"Tengo la cantidad necesaria para participar en mi cajita, entonces es un hecho que recibiré la giftcard si lo permanezco ahí?"
849,"Si hago el depósito, lo tengo que mantener ahí o lo puedo mover a la cajita?"
850,"Chale Nu les resgala mas cosas a lo que le hacen publicidad que a sus clientes, bueno de ahí sale pa los regales que les da a ellos 😂"
851,"Y cuando venden eso que protege el celular del agua, digo eso si vale la pena 👏"
852,Hagan algo bueno para la historia y no mamadas!
853,😮... No sé que decir al respecto...
854,Y para que o que?
855,Me pregunto cual es el sentido? 🤔
856,Y eso como para que sirve o que?
857,Y esas estupideces queee?
858,Todo bien pero lo ideal sería que fuera sin cable
859,Cuando prefieren invertir en producción y no en un buen equipo de marketing 🫠 “concepto chingón” 🤡🤡
860,Premio: la mamada del año
861,@reeeeeeegi muchísimas felicidades!!!! Estás cañonaaaa😍🔥👏
862,@nu.mx Querían dejar la prehistoria? pero si el cable de la terminal es de la prehistoria!! la nueva era sería que se pudiera hacer sin cable y aun así no le veo el chiste por que no vivimos bajo el agua ni las tiendas están a 20 metros bajo el mar 🙄 yo que tu despedía a tu equipo de marketing 🥴
